molecule,geometry_id,full_AO_width,electrons,projector_residual_max,eigenvalue_distance_min,eigenvalue_distance_max,density_symmetry_residual,root_reconstruction_residual,saved_transform_residual,electron_trace_residual,MO_density_residual,status,eigenvalues
LiH,022,6,4,8.43769498715119e-15,5.48858879273579e-21,4.6629367034256575e-15,1.6653345369377348e-16,0.0,0.0,3.1086244689504383e-15,0.0,PASS,"[-1.645290072667301e-16, -1.725583421695036e-17, -5.48858879273579e-21, 1.5447125258538238e-16, 1.9999999999999953, 2.000000000000002]"
LiH,023,6,4,9.43689570931383e-16,0.0,8.881784197001252e-16,1.6653345369377348e-16,0.0,0.0,4.440892098500626e-16,0.0,PASS,"[-1.5817700159946426e-16, -5.993340737140476e-18, 7.215273241991044e-21, 1.9197812809969828e-16, 1.9999999999999991, 2.0]"
LiH,024,6,4,3.1086244689504383e-15,2.757746269489271e-20,2.886579864025407e-15,1.3877787807814457e-16,0.0,0.0,4.884981308350689e-15,0.0,PASS,"[-1.8253016514059695e-16, -8.561878268994763e-17, -2.757746269489271e-20, 7.315894777791686e-17, 1.9999999999999971, 1.9999999999999991]"
LiH,025,6,4,5.329070518200751e-15,5.942629816186188e-21,5.10702591327572e-15,2.498001805406602e-16,0.0,0.0,6.217248937900877e-15,0.0,PASS,"[-2.0200830001784646e-16, 5.942629816186188e-21, 4.3891442968789595e-18, 3.7590736360256316e-17, 1.999999999999995, 1.9999999999999993]"
LiH,026,6,4,1.7763568394002505e-15,4.2831933621038473e-19,1.9984014443252818e-15,2.220446049250313e-16,0.0,0.0,0.0,0.0,PASS,"[-2.361276477062588e-16, -6.979450221020128e-17, -4.2831933621038473e-19, 2.622365882022246e-16, 1.999999999999998, 2.000000000000001]"
LiH,027,6,4,3.1086244689504383e-15,1.8020486123538975e-22,3.552713678800501e-15,1.6653345369377348e-16,0.0,0.0,2.6645352591003757e-15,0.0,PASS,"[-2.0152637697683758e-16, 1.8020486123538975e-22, 6.7622277650683866e-18, 2.4081435917735283e-17, 1.999999999999999, 2.0000000000000036]"
LiH,028,6,4,2.6645352591003757e-15,5.818710126498771e-20,1.1102230246251565e-15,1.5265566588595902e-16,0.0,0.0,1.7763568394002505e-15,0.0,PASS,"[-1.408450275685019e-16, -1.0234822726690516e-16, -1.3306655682332636e-17, -5.818710126498771e-20, 1.999999999999999, 1.9999999999999996]"
LiH,029,6,4,3.1086244689504383e-15,6.925761261885275e-22,2.6645352591003757e-15,1.6653345369377348e-16,0.0,0.0,1.7763568394002505e-15,0.0,PASS,"[-7.726932117288354e-17, 6.925761261885275e-22, 1.2844211651410643e-16, 3.199241396756715e-16, 1.9999999999999982, 2.0000000000000027]"
LiH,030,6,4,8.43769498715119e-15,1.2297687648158543e-20,4.440892098500626e-15,1.1102230246251565e-16,0.0,0.0,5.329070518200751e-15,0.0,PASS,"[-3.2496330500576185e-16, -1.4268129547407695e-16, 1.2297687648158543e-20, 8.919109754819171e-17, 2.0000000000000004, 2.0000000000000044]"
BeH2,001,7,6,3.1086244689504383e-15,3.4616211042852263e-17,2.6645352591003757e-15,2.220446049250313e-16,0.0,0.0,2.6645352591003757e-15,4.5102810375396984e-17,PASS,"[-1.4705010551568616e-16, -3.4616211042852263e-17, 2.26290891785819e-16, 3.2615775980154396e-16, 1.9999999999999973, 1.9999999999999984, 2.0000000000000018]"
BeH2,002,7,6,1.3322676295501878e-15,3.1308586197627444e-17,1.3322676295501878e-15,1.1102230246251565e-16,0.0,0.0,1.7763568394002505e-15,5.551115123125783e-17,PASS,"[-1.641898709182148e-16, 3.1308586197627444e-17, 1.9599622282499885e-16, 2.6933521070886955e-16, 1.9999999999999987, 1.9999999999999991, 1.9999999999999998]"
BeH2,003,7,6,9.992007221626409e-16,0.0,1.7763568394002505e-15,1.5265566588595902e-16,0.0,0.0,0.0,2.7755575615628914e-17,PASS,"[-2.528050627258263e-16, -1.7267948747279756e-16, 9.596388249190297e-17, 3.9887513777271284e-16, 1.9999999999999982, 2.0, 2.000000000000001]"
BeH2,004,7,6,5.10702591327572e-15,7.805642866281851e-17,6.217248937900877e-15,2.220446049250313e-16,0.0,0.0,3.552713678800501e-15,5.551115123125783e-17,PASS,"[-3.519283991495506e-16, 7.805642866281851e-17, 1.3149185843758392e-16, 2.98430162987206e-16, 1.9999999999999964, 2.0000000000000004, 2.000000000000006]"
BeH2,005,7,6,3.9968028886505635e-15,5.219569337512402e-17,5.329070518200751e-15,1.1102230246251565e-16,0.0,0.0,6.217248937900877e-15,1.1102230246251565e-16,PASS,"[-1.4477433872201488e-16, 5.219569337512402e-17, 1.0520551733063302e-16, 1.165626134823026e-16, 2.0000000000000004, 2.000000000000002, 2.0000000000000053]"
BeH2,006,7,6,3.1086244689504383e-15,5.340924599216059e-17,3.552713678800501e-15,1.6653345369377348e-16,0.0,0.0,3.552713678800501e-15,1.1102230246251565e-16,PASS,"[-4.2959779887294823e-16, -2.1951236102953565e-16, 5.340924599216059e-17, 7.835506507732169e-17, 1.9999999999999964, 1.9999999999999982, 2.0000000000000018]"
BeH2,007,7,6,3.9968028886505635e-15,0.0,4.218847493575595e-15,2.220446049250313e-16,0.0,0.0,7.993605777301127e-15,5.551115123125783e-17,PASS,"[-2.78450087257269e-16, -1.1048681744087252e-16, -8.094121973298895e-17, 8.590207011057626e-17, 1.9999999999999958, 1.9999999999999962, 2.0]"
BeH2,008,7,6,6.217248937900877e-15,2.393052095830437e-17,5.329070518200751e-15,1.3877787807814457e-16,0.0,0.0,8.881784197001252e-15,5.551115123125783e-17,PASS,"[-2.479297875195746e-16, -1.6900011482636759e-16, 2.393052095830437e-17, 1.38622751230795e-16, 2.0000000000000004, 2.000000000000003, 2.0000000000000053]"
BeH2,009,7,6,3.9621084191310274e-15,0.0,3.9968028886505635e-15,1.5265566588595902e-16,0.0,0.0,8.881784197001252e-16,5.551115123125783e-17,PASS,"[-1.216536180655887e-16, 7.689503287580046e-17, 1.0893940498840663e-16, 1.7633520380215164e-16, 1.9999999999999973, 2.0, 2.000000000000004]"
BeH2,010,7,6,7.105427357601002e-15,5.770749084190208e-17,3.3306690738754696e-15,2.220446049250313e-16,0.0,0.0,1.7763568394002505e-15,5.551115123125783e-17,PASS,"[-6.92657327272901e-16, -1.4435174828264596e-16, -1.101449693525005e-16, 5.770749084190208e-17, 1.9999999999999967, 1.9999999999999984, 2.0000000000000027]"
BeH2,011,7,6,2.886579864025407e-15,0.0,3.3306690738754696e-15,1.249000902703301e-16,0.0,0.0,4.440892098500626e-15,5.551115123125783e-17,PASS,"[-2.050359445705443e-16, 4.867573098834843e-17, 1.2345333131694945e-16, 2.477617285442447e-16, 1.9999999999999967, 1.999999999999999, 2.0]"
BeH2,012,7,6,8.215650382226158e-15,6.873903342514348e-17,8.43769498715119e-15,1.1102230246251565e-16,0.0,0.0,7.993605777301127e-15,1.1102230246251565e-16,PASS,"[-1.8529322024977524e-16, -1.2198879959063375e-16, 6.873903342514348e-17, 1.7360732437003428e-16, 1.9999999999999984, 2.0000000000000018, 2.0000000000000084]"
BeH2,013,7,6,2.886579864025407e-15,2.8731173266752825e-17,3.774758283725532e-15,2.220446049250313e-16,0.0,0.0,5.329070518200751e-15,5.551115123125783e-17,PASS,"[2.8731173266752825e-17, 1.2156336790467411e-16, 2.263811837028931e-16, 3.0649408430537167e-16, 1.9999999999999962, 1.9999999999999991, 1.9999999999999991]"
BeH2,014,7,6,6.661338147750939e-15,2.6506658406970688e-17,3.552713678800501e-15,1.3877787807814457e-16,0.0,0.0,7.105427357601002e-15,2.7755575615628914e-17,PASS,"[-5.543292466474014e-16, 2.6506658406970688e-17, 1.1937347382038808e-16, 1.987861921983579e-16, 2.000000000000001, 2.000000000000003, 2.0000000000000036]"
BeH2,015,7,6,3.552713678800501e-15,8.722363717066758e-17,2.6645352591003757e-15,1.1102230246251565e-16,0.0,0.0,1.7763568394002505e-15,5.551115123125783e-17,PASS,"[-1.1483828848816427e-16, -8.722363717066758e-17, 1.9555539794361202e-16, 3.5102771106759127e-16, 1.9999999999999982, 1.9999999999999987, 2.0000000000000027]"
BeH2,016,7,6,1.3322676295501878e-15,0.0,1.3322676295501878e-15,2.220446049250313e-16,0.0,0.0,1.7763568394002505e-15,2.465190328815662e-32,PASS,"[-1.276273376159263e-16, 5.165196389466913e-18, 3.1669772693503573e-16, 3.452441733013852e-16, 1.9999999999999987, 1.9999999999999993, 2.0]"
BeH2,017,7,6,2.6645352591003757e-15,0.0,3.1086244689504383e-15,2.220446049250313e-16,0.0,0.0,1.7763568394002505e-15,5.551115123125783e-17,PASS,"[-1.5084054334356208e-16, -9.866662213774236e-17, 4.3201511164947615e-17, 1.2514303886480376e-16, 1.999999999999997, 1.9999999999999996, 2.0]"
BeH2,018,7,6,1.9984014443252818e-15,1.0695392669047815e-16,1.7763568394002505e-15,1.3877787807814457e-16,0.0,0.0,1.7763568394002505e-15,5.551115123125783e-17,PASS,"[-2.6513026075143935e-16, -1.2814155038632551e-16, 1.0695392669047815e-16, 1.9129412406000335e-16, 1.9999999999999982, 1.999999999999999, 2.000000000000001]"
BeH2,019,7,6,8.881784197001252e-16,0.0,4.440892098500626e-16,2.220446049250313e-16,0.0,0.0,0.0,5.551115123125783e-17,PASS,"[-3.493651896526853e-17, 4.509339570953667e-17, 1.4221045211423372e-16, 2.3022768192728814e-16, 1.9999999999999996, 2.0, 2.0]"
BeH2,020,7,6,1.7763568394002505e-15,1.9322416040240596e-17,2.220446049250313e-15,3.3306690738754696e-16,0.0,0.0,2.6645352591003757e-15,5.551115123125783e-17,PASS,"[-1.5355530446213066e-16, 1.9322416040240596e-17, 4.667565276470131e-17, 4.899043597888157e-16, 1.9999999999999996, 2.0000000000000004, 2.000000000000002]"
BeH2,021,7,6,8.326672684688674e-16,0.0,4.440892098500626e-16,2.220446049250313e-16,0.0,0.0,0.0,3.469446951953614e-18,PASS,"[-2.851436868427079e-16, -7.18488911359457e-17, 8.581305234452281e-17, 1.9750255211002746e-16, 1.9999999999999996, 2.0, 2.0000000000000004]"
BeH2,022,7,6,2.886579864025407e-15,0.0,3.1086244689504383e-15,1.1102230246251565e-16,0.0,0.0,1.7763568394002505e-15,5.551115123125783e-17,PASS,"[-1.8566257134188713e-16, -3.329880580189708e-19, 1.0291977776517492e-16, 1.6807276882674237e-16, 1.999999999999997, 2.0, 2.0000000000000013]"
BeH2,023,7,6,6.661338147750939e-15,6.5813292552074825e-18,4.884981308350689e-15,1.3877787807814457e-16,0.0,0.0,1.7763568394002505e-15,5.551115123125783e-17,PASS,"[-7.519767321658741e-17, 6.5813292552074825e-18, 1.1973222000651931e-16, 2.873376343746303e-16, 1.9999999999999951, 1.9999999999999998, 2.0000000000000036]"
BeH2,024,7,6,4.440892098500626e-15,8.065808875516104e-17,5.329070518200751e-15,2.220446049250313e-16,0.0,0.0,4.440892098500626e-15,1.1102230246251565e-16,PASS,"[-2.1263307629591003e-16, -8.065808875516104e-17, 2.0756654031186905e-16, 2.2642448836167974e-16, 1.999999999999999, 2.000000000000001, 2.0000000000000053]"
BeH2,025,7,6,2.220446049250313e-15,4.8894191311187763e-17,1.7763568394002505e-15,1.942890293094024e-16,0.0,0.0,1.7763568394002505e-15,5.551115123125783e-17,PASS,"[-1.4022895042551315e-16, 4.8894191311187763e-17, 1.1941366010554314e-16, 2.0767594278697046e-16, 1.9999999999999991, 2.0000000000000004, 2.0000000000000018]"
BeH2,026,7,6,3.1086244689504383e-15,0.0,2.6645352591003757e-15,2.220446049250313e-16,0.0,0.0,1.7763568394002505e-15,5.551115123125783e-17,PASS,"[-2.10390259407882e-16, -5.0837724036474875e-17, 4.139646971478899e-17, 2.5464315253545886e-16, 2.0, 2.000000000000001, 2.0000000000000027]"
BeH2,027,7,6,4.6629367034256575e-15,5.823066199343974e-18,4.440892098500626e-15,1.3877787807814457e-16,0.0,0.0,8.881784197001252e-15,5.551115123125783e-17,PASS,"[-3.2466965281857036e-16, -8.946304251013014e-17, -5.823066199343974e-18, 1.3576917670004683e-16, 2.0000000000000004, 2.0000000000000018, 2.0000000000000044]"
BeH2,028,7,6,4.440892098500626e-15,3.7968020290649505e-17,2.220446049250313e-15,2.220446049250313e-16,0.0,0.0,1.7763568394002505e-15,6.938893903907228e-18,PASS,"[-2.9761057875267183e-16, -2.3515685751072874e-16, -1.6174644606502865e-16, 3.7968020290649505e-17, 1.9999999999999993, 2.000000000000001, 2.000000000000002]"
BeH2,029,7,6,3.552713678800501e-15,2.957551335467754e-18,2.4424906541753444e-15,2.220446049250313e-16,0.0,0.0,1.7763568394002505e-15,2.7755575615628914e-17,PASS,"[-1.5586127826921208e-16, -2.957551335467754e-18, 1.3754613274065306e-16, 2.237535406526463e-16, 1.9999999999999976, 2.0000000000000004, 2.0000000000000018]"
BeH2,030,7,6,4.6629367034256575e-15,0.0,3.9968028886505635e-15,2.220446049250313e-16,0.0,0.0,3.552713678800501e-15,5.551115123125783e-17,PASS,"[-1.3017016993749643e-16, 9.393682229295134e-18, 2.05994547976128e-17, 4.262647441627308e-16, 1.9999999999999982, 2.0, 2.000000000000004]"
H2O,001,7,10,7.549516567451064e-15,3.1453914270822384e-17,4.884981308350689e-15,1.6653345369377348e-16,0.0,0.0,7.105427357601002e-15,2.7755575615628914e-17,PASS,"[-3.1453914270822384e-17, 3.1453914270822384e-17, 1.9999999999999951, 1.9999999999999967, 1.999999999999997, 2.0000000000000004, 2.000000000000003]"
H2O,002,7,10,2.3314683517128287e-15,1.7021791204052675e-16,1.7763568394002505e-15,2.7755575615628914e-16,0.0,0.0,1.7763568394002505e-15,5.551115123125783e-17,PASS,"[1.7021791204052675e-16, 2.7387129780953587e-16, 1.9999999999999982, 1.9999999999999987, 2.0000000000000013, 2.0000000000000013, 2.0000000000000018]"
H2O,003,7,10,4.884981308350689e-15,0.0,3.1086244689504383e-15,1.3183898417423734e-16,0.0,0.0,1.7763568394002505e-15,2.7755575615628914e-17,PASS,"[-4.476336829401571e-16, 2.2558907801512583e-16, 1.999999999999997, 1.9999999999999984, 2.0, 2.0000000000000013, 2.0000000000000027]"
H2O,004,7,10,6.661338147750939e-15,3.3603143310211016e-16,6.217248937900877e-15,2.706168622523819e-16,0.0,0.0,8.881784197001252e-15,1.1102230246251565e-16,PASS,"[-5.521469865980151e-16, -3.3603143310211016e-16, 1.9999999999999938, 1.999999999999996, 1.9999999999999971, 2.000000000000001, 2.000000000000003]"
H2O,005,7,10,8.881784197001252e-15,1.1255800704632694e-16,7.105427357601002e-15,2.2898349882893854e-16,0.0,0.0,3.552713678800501e-15,2.0816681711721685e-17,PASS,"[-1.1255800704632694e-16, 1.6881835456648218e-16, 1.9999999999999978, 1.9999999999999991, 2.000000000000001, 2.0000000000000018, 2.000000000000007]"
H2O,006,7,10,7.105427357601002e-15,0.0,3.552713678800501e-15,3.0531133177191805e-16,0.0,0.0,0.0,2.7755575615628914e-17,PASS,"[-3.4763637574915354e-17, 3.4763637574915354e-17, 1.9999999999999967, 1.9999999999999973, 2.0, 2.0000000000000036, 2.0000000000000036]"
H2O,007,7,10,8.881784197001252e-15,2.220446049250313e-16,6.217248937900877e-15,2.7755575615628914e-16,0.0,0.0,1.5987211554602254e-14,1.1102230246251565e-16,PASS,"[-2.229005078438267e-16, 2.229005078438267e-16, 1.9999999999999938, 1.9999999999999958, 1.9999999999999971, 1.9999999999999973, 1.9999999999999998]"
H2O,008,7,10,7.993605777301127e-15,2.220956102736255e-16,4.884981308350689e-15,1.1102230246251565e-16,0.0,0.0,1.2434497875801753e-14,1.1102230246251565e-16,PASS,"[-2.220956102736255e-16, 2.220956102736255e-16, 1.9999999999999951, 1.9999999999999964, 1.999999999999997, 1.9999999999999991, 2.0000000000000004]"
H2O,009,7,10,7.993605777301127e-15,9.176653397339716e-18,4.218847493575595e-15,3.0531133177191805e-16,0.0,0.0,1.2434497875801753e-14,1.734723475976807e-17,PASS,"[-4.532658632474023e-16, 9.176653397339716e-18, 1.9999999999999958, 1.999999999999996, 1.9999999999999976, 1.9999999999999987, 2.000000000000001]"
H2O,010,7,10,7.993605777301127e-15,1.5556103654997448e-16,3.9968028886505635e-15,3.7470027081099033e-16,0.0,0.0,5.329070518200751e-15,1.1102230246251565e-16,PASS,"[-1.5556103654997448e-16, 1.5556103654997448e-16, 1.999999999999996, 1.9999999999999976, 1.9999999999999984, 1.9999999999999998, 2.0000000000000018]"
H2O,011,7,10,9.325873406851315e-15,3.939067718692695e-18,5.773159728050814e-15,2.220446049250313e-16,0.0,0.0,3.552713678800501e-15,5.551115123125783e-17,PASS,"[-3.939067718692695e-18, 4.480282775687554e-16, 1.9999999999999971, 1.999999999999998, 2.0000000000000004, 2.0000000000000018, 2.0000000000000058]"
H2O,012,7,10,1.1546319456101628e-14,4.387159265307344e-18,6.439293542825908e-15,2.220446049250313e-16,0.0,0.0,1.0658141036401503e-14,1.1102230246251565e-16,PASS,"[-4.4847636911537e-16, 4.387159265307344e-18, 1.9999999999999936, 1.9999999999999958, 1.9999999999999978, 1.9999999999999982, 2.000000000000002]"
H2O,013,7,10,3.1688240354327203e-15,1.0656504769223859e-18,5.329070518200751e-15,3.3306690738754696e-16,0.0,0.0,3.552713678800501e-15,5.551115123125783e-17,PASS,"[-1.0656504769223859e-18, 4.451548603269851e-16, 1.9999999999999978, 2.0000000000000004, 2.000000000000001, 2.0000000000000018, 2.0000000000000053]"
H2O,014,7,10,1.199040866595169e-14,3.9919512291732843e-17,6.439293542825908e-15,3.5388358909926865e-16,0.0,0.0,5.329070518200751e-15,2.7755575615628914e-17,PASS,"[-3.9919512291732843e-17, 3.9919512291732843e-17, 1.9999999999999936, 1.9999999999999953, 1.9999999999999993, 2.0000000000000018, 2.000000000000003]"
H2O,015,7,10,6.217248937900877e-15,1.226548121338837e-16,6.8833827526759706e-15,2.220446049250313e-16,0.0,0.0,1.2434497875801753e-14,1.1102230246251565e-16,PASS,"[1.226548121338837e-16, 3.2143439771617893e-16, 1.9999999999999931, 1.9999999999999953, 1.9999999999999971, 1.9999999999999982, 2.0000000000000018]"
H2O,016,7,10,7.105427357601002e-15,4.571451596626587e-19,5.773159728050814e-15,5.273559366969494e-16,0.0,0.0,5.329070518200751e-15,5.551115123125783e-17,PASS,"[-4.571451596626587e-19, 4.445463550097252e-16, 1.9999999999999942, 1.9999999999999962, 1.9999999999999976, 2.000000000000001, 2.000000000000005]"
H2O,017,7,10,7.993605777301127e-15,5.323081570402374e-17,5.329070518200751e-15,4.440892098500626e-16,0.0,0.0,0.0,2.7755575615628914e-17,PASS,"[-4.973200255540864e-16, 5.323081570402374e-17, 1.9999999999999947, 1.9999999999999978, 2.000000000000001, 2.000000000000003, 2.000000000000004]"
H2O,018,7,10,7.105427357601002e-15,1.6116644580041985e-16,6.217248937900877e-15,2.706168622523819e-16,0.0,0.0,7.105427357601002e-15,1.3877787807814457e-17,PASS,"[-2.8292276404964277e-16, -1.6116644580041985e-16, 1.9999999999999971, 1.9999999999999993, 2.0000000000000018, 2.000000000000004, 2.000000000000006]"
H2O,019,7,10,7.549516567451064e-15,1.3781699642514685e-16,4.884981308350689e-15,3.2612801348363973e-16,0.0,0.0,1.7763568394002505e-15,2.7755575615628914e-17,PASS,"[-3.5649882412662994e-16, 1.3781699642514685e-16, 1.9999999999999976, 1.999999999999999, 2.000000000000001, 2.000000000000001, 2.000000000000005]"
H2O,020,7,10,1.2878587085651816e-14,1.1388208581733822e-16,6.661338147750939e-15,2.914335439641036e-16,0.0,0.0,1.0658141036401503e-14,1.1102230246251565e-16,PASS,"[-1.1388208581733822e-16, 1.1388208581733822e-16, 1.9999999999999933, 1.9999999999999958, 1.9999999999999976, 1.9999999999999996, 2.000000000000001]"
H2O,021,7,10,5.329070518200751e-15,2.220446049250313e-16,3.3306690738754696e-15,1.457167719820518e-16,0.0,0.0,5.329070518200751e-15,1.1102230246251565e-16,PASS,"[-4.524957874993228e-16, 4.524957874993228e-16, 1.9999999999999967, 1.9999999999999998, 2.000000000000001, 2.0000000000000018, 2.000000000000003]"
H2O,022,7,10,9.769962616701378e-15,2.771688805551711e-16,4.884981308350689e-15,2.220446049250313e-16,0.0,0.0,5.329070518200751e-15,1.1102230246251565e-16,PASS,"[-2.771688805551711e-16, 4.992134854802025e-16, 1.9999999999999958, 1.9999999999999993, 2.0000000000000004, 2.0000000000000036, 2.000000000000005]"
H2O,023,7,10,8.881784197001252e-15,3.4629573065843584e-17,4.884981308350689e-15,2.220446049250313e-16,0.0,0.0,1.7763568394002505e-15,3.944304526105059e-31,PASS,"[-3.4629573065843584e-17, 2.566741779908749e-16, 1.9999999999999951, 2.0000000000000004, 2.000000000000001, 2.0000000000000013, 2.0000000000000018]"
H2O,024,7,10,7.993605777301127e-15,3.996848859911837e-17,4.884981308350689e-15,4.85722573273506e-16,0.0,0.0,1.7763568394002505e-15,1.1102230246251565e-16,PASS,"[-3.996848859911837e-17, 3.996848859911837e-17, 1.9999999999999971, 1.9999999999999987, 1.9999999999999991, 2.000000000000003, 2.000000000000005]"
